     Conf.      atom   element    Ref. charge(e)      NN charge(e)          Ref. energy(Ha)            NN energy(Ha)
         2       178         8       -0.29054700       -0.28035019               0.00000000             -55.62687356
         2       179         1        0.14332100        0.15267927               0.00000000              19.18849307
         2       180         1        0.14248500        0.15276907               0.00000000              19.18805817
         2       181         8       -0.28614400       -0.29198590               0.00000000             -55.62458108
         2       182         1        0.14135800        0.14086098               0.00000000              19.18913600
         2       183         1        0.14788400        0.14257171               0.00000000              19.18946944
         2       184         8       -0.26995500       -0.27539159               0.00000000             -55.62787597
         2       185         1        0.15652300        0.16002985               0.00000000              19.19099458
         2       186         1        0.14698600        0.14574557               0.00000000              19.19227991
         2       187         8       -0.26498800       -0.28623459               0.00000000             -55.62510801
         2       188         1        0.15070300        0.14029041               0.00000000              19.19185930
         2       189         1        0.14434600        0.13469619               0.00000000              19.18842298
         2       190         8       -0.27662100       -0.29880585               0.00000000             -55.62638127
         2       191         1        0.14809900        0.15029404               0.00000000              19.18935775
         2       192         1        0.15713000        0.13931070               0.00000000              19.18967600
