     Conf.      atom         Ref. Fx(Ha/Bohr)         Ref. Fy(Ha/Bohr)         Ref. Fz(Ha/Bohr)           NN Fx(Ha/Bohr)           NN Fy(Ha/Bohr)           NN Fz(Ha/Bohr)
         1       182               0.02746900               0.00651000               0.00482600               0.02268115               0.00648253               0.00270344
         1       183              -0.00350600               0.00067300               0.00049900              -0.00438449               0.00973053              -0.00805230
         1       184              -0.00201100               0.02553700               0.03147800               0.00025213               0.01018768               0.01571073
         1       185              -0.01203200              -0.01840200              -0.00234300              -0.00331969              -0.01039875              -0.00505165
         1       186               0.01076900              -0.00736600              -0.02828200               0.00371953              -0.00012101              -0.00472015
         1       187               0.03475900               0.00311200               0.02314300               0.01716566               0.00237934               0.00991605
         1       188              -0.02973400              -0.00834200              -0.03317300              -0.01685317              -0.00261566              -0.02626224
         1       189              -0.00817700               0.00831600               0.00807500              -0.00375860               0.00321477               0.01711132
         1       190              -0.00349300               0.00039700               0.02175100               0.00213516              -0.00323907              -0.00395760
         1       191               0.00107400              -0.00538800              -0.00457300              -0.00127809              -0.00926310               0.00588770
         1       192               0.00538000               0.00214100              -0.01775600               0.00280845               0.01043263               0.00025195
         2         1               0.00774400              -0.00829700               0.02619800              -0.00097310              -0.00244453               0.00075450
         2         2              -0.01073300              -0.01467400              -0.02524500              -0.00438126              -0.00977547              -0.00933538
         2         3              -0.00361900               0.01240300              -0.00203500              -0.00214367               0.00632177               0.00056789
         2         4              -0.00572200               0.02833000               0.00573900              -0.00080571               0.00343295               0.00169531
         2         5               0.00653000              -0.00842700              -0.00023500              -0.00122157               0.00434731              -0.00215911
         2         6              -0.00054800              -0.02262000              -0.00809800               0.00514678              -0.00836157              -0.00561646
         2         7              -0.02689900               0.04274900              -0.06741500              -0.01058804               0.01425948              -0.02644363
         2         8               0.03884000              -0.03305500               0.06058400               0.01531324              -0.01437463               0.02722522
         2         9              -0.00856200              -0.00611600               0.00914100              -0.00183473               0.00173112              -0.00075260
         2        10              -0.00039000              -0.02124300               0.03753900              -0.00526632              -0.01132409               0.01937941
         2        11               0.01722800               0.00498800              -0.00832600               0.02666290               0.00482873               0.00142895
         2        12              -0.01846100               0.01368000              -0.03165400              -0.02000444               0.00644048              -0.02096667
         2        13              -0.00074100               0.00299600              -0.00240100              -0.00101319               0.00200158              -0.00474186
         2        14              -0.00808100              -0.00502000              -0.00642700              -0.00205900               0.00255542               0.00021352
         2        15               0.00863200               0.00384700              -0.00348300               0.00029683              -0.00355985              -0.00077917
         2        16               0.01330200               0.00413900              -0.00649800              -0.00654597              -0.00983273               0.00320056
         2        17              -0.00385600              -0.00976300               0.00775400               0.00906951              -0.00393743               0.00268440
         2        18              -0.00603500               0.00443700              -0.00226300              -0.00510532               0.01359626              -0.00811821
         2        19              -0.01088000              -0.04198300              -0.03189300              -0.01590141              -0.00914021              -0.01609197
         2        20               0.01409300               0.00912400               0.01436900               0.01399639              -0.00487580               0.00605106
         2        21              -0.00637400               0.03398800               0.01944600               0.00383484               0.01362781               0.01066839
         2        22              -0.01645800              -0.00723000               0.00022000              -0.00573810               0.00055555              -0.00219959
         2        23               0.00319700              -0.00649300               0.00416000              -0.00000360              -0.00004491               0.00576662
         2        24               0.01249300               0.01649700              -0.00291600              -0.00174964               0.00237221              -0.00352264
         2        25              -0.01131900              -0.02040500              -0.04786000              -0.00915737              -0.00446426              -0.02364546
         2        26               0.01149800              -0.00767800               0.03175900               0.00845692              -0.00681096               0.01821583
         2        27              -0.00442500               0.02593000               0.01150700               0.00031298               0.01222698               0.00164267
         2        28               0.00814700              -0.01174600               0.00906900              -0.00045206               0.01083053               0.01095275
         2        29              -0.02974900               0.00130200              -0.02829900              -0.01324938              -0.00135704              -0.01297536
         2        30               0.01605800               0.00964100               0.01458400               0.00911672              -0.00754038               0.00482130
         2        31              -0.02421500               0.01123600              -0.02043400              -0.00690007               0.00404524              -0.00614298
         2        32               0.02961900              -0.00637000               0.01679800               0.01827844              -0.00164689               0.00441396
         2        33               0.00132100              -0.00361300               0.00758800              -0.00690383              -0.00363558               0.00652563
         2        34              -0.01909300               0.01374000               0.00941100              -0.01890396              -0.00313191               0.00215917
         2        35               0.02338100              -0.01356600              -0.01026600               0.01871115              -0.00753836              -0.00533360
         2        36              -0.00662800               0.00370000               0.01205900              -0.00259665               0.01036170               0.00762854
         2        37               0.01707500              -0.00370600              -0.00172000               0.01640787              -0.00698493              -0.00481243
         2        38              -0.00121300               0.01134000              -0.00205100               0.00510871               0.01777450              -0.00765907
         2        39              -0.01058200              -0.00759800               0.00360900              -0.01473177              -0.01289562               0.00883636
